titulo,url,data,adicoes,delecoes,tags
chore: bump pyjwt from 2.10.1 to 2.12.0 in /libs/langchain_v1,https://github.com/langchain-ai/langchain/pull/36024,2026-03-17,7,7,"langchain, infra, dependencies, python:uv"
release(anthropic): 1.4,https://github.com/langchain-ai/langchain/pull/36018,2026-03-17,3,3,"integration, release, dependencies, anthropic, size: XS"
"chore: bump locks, lint",https://github.com/langchain-ai/langchain/pull/35985,2026-03-17,20,10,"langchain, standard-tests, infra, text-splitters, internal, size: XS"
fix(langchain): export Runtime from agents.middleware,https://github.com/langchain-ai/langchain/pull/35975,2026-03-17,3,0,"langchain, external"
feat(anthropic): AnthropicPromptCachingMiddleware: apply explicit caching to system message and tool definitions,https://github.com/langchain-ai/langchain/pull/35969,2026-03-17,360,14,"integration, anthropic, internal, size: M"
feat(anthropic): delegate cache_control kwarg to anthropic top-level param,https://github.com/langchain-ai/langchain/pull/35967,2026-03-17,10,361,"integration, dependencies, feature, anthropic, internal, size: M"
docs(core): document `base_url` in mermaid api,https://github.com/langchain-ai/langchain/pull/35961,2026-03-17,5,0,"documentation, core, internal, size: XS"
feat(core): harden anti-ssrf,https://github.com/langchain-ai/langchain/pull/35960,2026-03-18,67,11,"core, feature, size: S"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/35959,2026-03-16,80,48,"integration, infra, anthropic, xai, internal, openrouter, bot, size: S"
fix(model-profiles): use posix-compatible substitution in makefile,https://github.com/langchain-ai/langchain/pull/35957,2026-03-16,1,1,"fix, model-profiles, size: XS"
chore: refine `README.md`,https://github.com/langchain-ai/langchain/pull/35944,2026-03-16,40,32,"infra, internal, size: S"
release(anthropic): 1.3.5,https://github.com/langchain-ai/langchain/pull/35873,2026-03-14,11,11,"integration, release, dependencies, anthropic, internal, size: XS"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/groq,https://github.com/langchain-ai/langchain/pull/35870,2026-03-14,76,76,"integration, dependencies, groq, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/exa,https://github.com/langchain-ai/langchain/pull/35869,2026-03-14,78,78,"integration, infra, dependencies, exa, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/deepseek,https://github.com/langchain-ai/langchain/pull/35868,2026-03-16,76,76,"integration, infra, dependencies, deepseek, python:uv, internal, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/anthropic,https://github.com/langchain-ai/langchain/pull/35867,2026-03-15,78,78,"integration, infra, dependencies, anthropic, python:uv, size: S"
chore: bump orjson from 3.11.5 to 3.11.6 in /libs/partners/ollama,https://github.com/langchain-ai/langchain/pull/35866,2026-03-14,78,78,"integration, infra, dependencies, ollama, python:uv, internal, size: S"
