titulo,url,data,adicoes,delecoes,tags
release(core): 1.2.16,https://github.com/langchain-ai/langchain/pull/35439,2026-02-25,3,3,"core, release, dependencies, internal"
release(anthropic): 1.3.4,https://github.com/langchain-ai/langchain/pull/35418,2026-02-24,6,6,"integration, release, dependencies, anthropic, internal"
fix(anthropic): filter out common OpenAI Responses block types,https://github.com/langchain-ai/langchain/pull/35417,2026-02-24,26,0,"integration, fix, anthropic, internal"
fix(core): treat empty tool chunk ids as missing in merge,https://github.com/langchain-ai/langchain/pull/35414,2026-02-24,31,3,"core, fix, external"
docs(chroma): clarify update_documents docstring and argument behavior,https://github.com/langchain-ai/langchain/pull/35409,2026-03-01,3,3,"documentation, integration, chroma, external"
chore: bump the other-deps group across 3 directories with 2 updates,https://github.com/langchain-ai/langchain/pull/35407,2026-02-23,66,66,"standard-tests, infra, text-splitters, dependencies, model-profiles, python:uv, external"
chore: bump google-cloud-aiplatform from 1.127.0 to 1.133.0 in /libs/langchain_v1,https://github.com/langchain-ai/langchain/pull/35397,2026-02-22,11,80,"langchain, infra, dependencies, python:uv, external"
fix(anthropic): update integration tests,https://github.com/langchain-ai/langchain/pull/35396,2026-02-22,2,19,"integration, fix, anthropic, internal"
chore: bump google-cloud-aiplatform from 1.117.0 to 1.133.0 in /libs/langchain,https://github.com/langchain-ai/langchain/pull/35392,2026-02-22,10,78,"infra, dependencies, langchain-classic, python:uv, external"
revert: add ChatAnthropicBedrockWrapper,https://github.com/langchain-ai/langchain/pull/35371,2026-02-20,12,871,"integration, core, langchain, dependencies, revert, anthropic"
feat(openrouter): default headers,https://github.com/langchain-ai/langchain/pull/35369,2026-02-20,46,5,"integration, feature, internal, openrouter"
chore(infra): disable tests on prior published packages on core release,https://github.com/langchain-ai/langchain/pull/35368,2026-02-20,2,1,"infra, github_actions, internal"
release(core): 1.2.15,https://github.com/langchain-ai/langchain/pull/35367,2026-02-20,3,3,"core, release, dependencies, internal"
fix(langchain): support anthropic-bedrock in init_chat_model,https://github.com/langchain-ai/langchain/pull/35366,2026-02-20,2,0,"langchain, fix"
fix(anthropic): replace retired model IDs in tests and docstrings,https://github.com/langchain-ai/langchain/pull/35365,2026-02-20,9,9,"integration, core, fix, anthropic, internal"
feat(infra): schedule daily model profile refresh with job summary,https://github.com/langchain-ai/langchain/pull/35354,2026-02-20,18,2,"github_actions, feature, internal"
chore: update agent files,https://github.com/langchain-ai/langchain/pull/35346,2026-02-20,60,0,"infra, internal"
fix(model-profiles): sort generated profiles by model ID for stable diffs,https://github.com/langchain-ai/langchain/pull/35344,2026-02-20,1520,1433,"integration, fix, model-profiles, anthropic, deepseek, fireworks, groq, huggingface, mistralai, openai"
fix(anthropic): set max input tokens based on 1m context beta header,https://github.com/langchain-ai/langchain/pull/35341,2026-02-20,23,0,"integration, fix, anthropic, internal"
chore: add model profile info to agent files,https://github.com/langchain-ai/langchain/pull/35336,2026-02-19,46,0,"infra, internal"
chore(infra): add GitHub App token generation step,https://github.com/langchain-ai/langchain/pull/35334,2026-02-20,8,0,"infra, github_actions, internal"
fix(infra): fix trailing comma regex in profile generation script,https://github.com/langchain-ai/langchain/pull/35333,2026-02-19,2,2,"integration, fix, model-profiles, deepseek, internal"
feat(infra): model profile bump tool,https://github.com/langchain-ai/langchain/pull/35331,2026-02-19,70,1,"github_actions, feature, model-profiles, internal"
release(core): 1.2.14,https://github.com/langchain-ai/langchain/pull/35328,2026-02-19,5,5,"core, release, dependencies"
"chore(core): remove `langserve` from sys info util, add `deepagents`",https://github.com/langchain-ai/langchain/pull/35325,2026-02-19,2,1,"core, infra, internal"
fix(core): improve typing/docs for on_chat_model_start to clarify required positional args,https://github.com/langchain-ai/langchain/pull/35324,2026-02-22,178,4,"core, fix, external"
style: fix some ruff noqa,https://github.com/langchain-ai/langchain/pull/35321,2026-02-19,27,29,"core, langchain, standard-tests, dependencies, linting, external"
revert: accept integer temperature values in _get_ls_params,https://github.com/langchain-ai/langchain/pull/35319,2026-02-18,4,77,core
release(text-splitters): 1.1.1,https://github.com/langchain-ai/langchain/pull/35318,2026-02-18,4,4,"text-splitters, dependencies, internal"
fix(core): accept integer temperature values in _get_ls_params,https://github.com/langchain-ai/langchain/pull/35317,2026-02-18,77,4,"core, fix, external"
fix(text-splitters): prevent JSFrameworkTextSplitter from mutating self._separators on each split_text() call,https://github.com/langchain-ai/langchain/pull/35316,2026-02-18,34,2,"text-splitters, fix, external"
docs(core): update load note to be precise,https://github.com/langchain-ai/langchain/pull/35309,2026-02-18,13,7,"documentation, core, internal"
fix(openai): accept valid responses that are falsy at runtime,https://github.com/langchain-ai/langchain/pull/35307,2026-02-19,21,1,"integration, fix, openai"
fix(core): accept int temperature in _get_ls_params for LangSmith tracing,https://github.com/langchain-ai/langchain/pull/35302,2026-02-18,22,4,"core, fix, external"
perf(core): defer specific `langsmith` imports to reduce import time,https://github.com/langchain-ai/langchain/pull/35298,2026-02-21,31,12,"core, performance, internal"
chore: bump model profiles,https://github.com/langchain-ai/langchain/pull/35294,2026-02-18,609,431,"integration, infra, model-profiles, anthropic, deepseek, fireworks, groq, huggingface, mistralai, perplexity"
chore(anthropic): add version,https://github.com/langchain-ai/langchain/pull/35293,2026-02-17,92,1,"integration, infra, github_actions, anthropic, internal"
release(openai): 1.1.10,https://github.com/langchain-ai/langchain/pull/35292,2026-02-17,8,8,"integration, release, dependencies, openai, internal"
fix(openai): add `model` property,https://github.com/langchain-ai/langchain/pull/35284,2026-02-17,7,0,"integration, fix, openai, internal"
docs: fix docstring inaccuracies and update outdated LangSmith URLs,https://github.com/langchain-ai/langchain/pull/35283,2026-02-17,14,13,"documentation, core, langchain, langchain-classic"
docs(core): add security warnings and best practices for deserialization,https://github.com/langchain-ai/langchain/pull/35282,2026-02-17,52,10,"documentation, core, internal"
fix(core): fix merge_lists incorrectly merging parallel tool calls,https://github.com/langchain-ai/langchain/pull/35281,2026-02-19,50,1,"core, fix, external"
chore: bump langchainhub from 0.1.18 to 0.1.21 in /libs/langchain in the langchain-deps group across 1 directory,https://github.com/langchain-ai/langchain/pull/35280,2026-02-17,8,7,"infra, dependencies, langchain-classic, python:uv, external"
chore: bump transformers from 5.1.0 to 5.2.0 in /libs/text-splitters in the other-deps group across 1 directory,https://github.com/langchain-ai/langchain/pull/35279,2026-02-17,3,3,"infra, text-splitters, dependencies, python:uv"
chore(infra): updates for openrouter/ollama,https://github.com/langchain-ai/langchain/pull/35278,2026-02-17,15,0,"infra, github_actions, internal"
docs(openai): more nits,https://github.com/langchain-ai/langchain/pull/35277,2026-02-17,54,33,"documentation, integration, openai, internal"
fix(mistralai): update test,https://github.com/langchain-ai/langchain/pull/35270,2026-02-17,1,1,"integration, fix, mistralai, internal"
feat(anthropic): add User-Agent header for Anthropic API calls,https://github.com/langchain-ai/langchain/pull/35268,2026-02-17,18,1,"integration, feature, anthropic, external"
docs(perplexity): Fix docstring of `output_parsers.strip_think_tags()`,https://github.com/langchain-ai/langchain/pull/35264,2026-02-18,1,1,"documentation, integration, perplexity, external"
fix(core): prevent recursion error when args_schema is dict,https://github.com/langchain-ai/langchain/pull/35260,2026-02-17,7,2,"core, fix, external"
chore: bump the langchain-deps group across 3 directories with 8 updates,https://github.com/langchain-ai/langchain/pull/35257,2026-02-17,91,92,"core, langchain, infra, dependencies, langchain-classic, python:uv, external"
chore: bump the other-deps group across 3 directories with 2 updates,https://github.com/langchain-ai/langchain/pull/35255,2026-02-17,63,63,"standard-tests, infra, text-splitters, dependencies, model-profiles, python:uv, external"
"fix(nomic,openai,perplexity): update pillow version to >= 12.1.1, <13.0.0",https://github.com/langchain-ai/langchain/pull/35254,2026-02-17,3,3,"integration, dependencies, fix, nomic, openai, perplexity, external"
fix(openai): enhance reference for non-OpenAI embedding providers,https://github.com/langchain-ai/langchain/pull/35252,2026-02-16,27,3,"integration, fix, openai, external"
fix(mistralai): update exception retry logic in embeddings,https://github.com/langchain-ai/langchain/pull/35238,2026-02-16,84,4,"integration, fix, mistralai, external"
fix(openai): improve error message for null choices in OpenAI-compatible APIs,https://github.com/langchain-ai/langchain/pull/35236,2026-02-15,9,1,"integration, fix, openai"
fix(infra): create GitHub releases for partner package releases,https://github.com/langchain-ai/langchain/pull/35234,2026-02-15,4,1,"integration, github_actions, fix, internal"
chore(infra): pass `OPENROUTER_API_KEY` to release pipelineg,https://github.com/langchain-ai/langchain/pull/35232,2026-02-15,1,0,"infra, github_actions, internal"
"chore(openrouter): bump core ver, silence warning",https://github.com/langchain-ai/langchain/pull/35231,2026-02-15,8,3,"integration, infra, dependencies"
release(core): 1.2.13,https://github.com/langchain-ai/langchain/pull/35230,2026-02-15,5,5,"core, release, dependencies, internal"
docs(core): expanded `get_lc_namespace` docstring,https://github.com/langchain-ai/langchain/pull/35229,2026-02-15,16,3,"documentation, core, internal"
fix(openai): sanitize chat completions text content blocks,https://github.com/langchain-ai/langchain/pull/35217,2026-02-15,40,1,"integration, fix, openai"
fix(openai): gpt-5.2-pro Model Profile `structured_output` key fixed,https://github.com/langchain-ai/langchain/pull/35216,2026-02-16,185,165,"integration, fix, openai, external"
chore(openai): extend `model_token_mapping` till `gpt-5.2` for modelname_to_contextsize,https://github.com/langchain-ai/langchain/pull/35214,2026-02-16,10,0,"integration, infra, openai"
feat(openai): support automatic server-side compaction,https://github.com/langchain-ai/langchain/pull/35212,2026-02-17,113,7,"integration, langchain, dependencies, feature, langchain-classic, openai, internal"
feat(openrouter): add `langchain-openrouter` provider package,https://github.com/langchain-ai/langchain/pull/35211,2026-02-15,8958,4,"integration, core, langchain, dependencies, github_actions, feature, model-profiles, openai, internal"
docs(openai): clarify reasoning config for openai-compatible endpoints,https://github.com/langchain-ai/langchain/pull/35202,2026-02-16,11,0,"documentation, integration, openai, external"
fix: Server-Side Request Forgery (SSRF) in HTMLHeaderTextSplitter.split_text_from_url,https://github.com/langchain-ai/langchain/pull/35196,2026-02-12,8,3,"text-splitters, dependencies, fix"
release(core): 1.2.12,https://github.com/langchain-ai/langchain/pull/35192,2026-02-12,3,3,"core, release, dependencies, internal"
fix(core): fix setting `ChatGeneration.text`,https://github.com/langchain-ai/langchain/pull/35191,2026-02-12,45,27,"core, fix"
fix(ollama): raise error when clients are not initialized,https://github.com/langchain-ai/langchain/pull/35185,2026-02-12,125,19,"integration, fix, ollama"
fix(core): correct misleading jinja2 sandboxing comment,https://github.com/langchain-ai/langchain/pull/35183,2026-02-17,5,3,"core, fix, external"
release(huggingface): 1.2.1,https://github.com/langchain-ai/langchain/pull/35182,2026-02-12,4,4,"integration, release, dependencies, huggingface, internal"
chore(deps): bump pillow from 11.3.0 to 12.1.1 in /libs/partners/huggingface,https://github.com/langchain-ai/langchain/pull/35179,2026-02-11,94,98,"integration, infra, dependencies, huggingface, python:uv, external"
chore(deps): bump pillow from 11.3.0 to 12.1.1 in /libs/partners/nomic,https://github.com/langchain-ai/langchain/pull/35178,2026-02-11,96,100,"integration, infra, dependencies, nomic, python:uv, external"
chore: bump pillow from 11.3.0 to 12.1.1 in /libs/partners/openai,https://github.com/langchain-ai/langchain/pull/35177,2026-02-11,96,100,"integration, infra, dependencies, openai, python:uv, external"
chore: bump pillow from 11.3.0 to 12.1.1 in /libs/partners/perplexity,https://github.com/langchain-ai/langchain/pull/35176,2026-02-11,96,100,"integration, infra, dependencies, perplexity, python:uv, external"
chore(deps): bump pillow from 11.3.0 to 12.1.1 in /libs/langchain,https://github.com/langchain-ai/langchain/pull/35175,2026-02-11,94,98,"infra, dependencies, langchain-classic, python:uv"
chore(deps): bump pillow from 12.0.0 to 12.1.1 in /libs/langchain_v1,https://github.com/langchain-ai/langchain/pull/35174,2026-02-11,94,94,"langchain, infra, dependencies, python:uv, external"
chore(deps): bump pillow from 11.3.0 to 12.1.1 in /libs/partners/fireworks,https://github.com/langchain-ai/langchain/pull/35173,2026-02-11,94,98,"integration, infra, dependencies, fireworks, python:uv"
fix(mistralai): fix `NameError` in `RunnableWithFallbacks.__getattr__` when resolving type hints,https://github.com/langchain-ai/langchain/pull/35172,2026-02-11,2,2,"integration, core, fix, mistralai, external"
chore(core): raise more descriptive model error in `init_chat_model`,https://github.com/langchain-ai/langchain/pull/35167,2026-02-11,14,0,"langchain, infra, internal"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/ollama,https://github.com/langchain-ai/langchain/pull/35166,2026-02-11,14,13,"integration, infra, dependencies, ollama, python:uv, external"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/chroma,https://github.com/langchain-ai/langchain/pull/35165,2026-02-11,14,13,"integration, infra, dependencies, chroma, python:uv, external"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/mistralai,https://github.com/langchain-ai/langchain/pull/35164,2026-02-11,14,13,"integration, infra, dependencies, mistralai, python:uv"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/fireworks,https://github.com/langchain-ai/langchain/pull/35163,2026-02-11,14,13,"integration, infra, dependencies, fireworks, python:uv"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/text-splitters,https://github.com/langchain-ai/langchain/pull/35162,2026-02-11,5,4,"infra, text-splitters, dependencies, python:uv, external"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/qdrant,https://github.com/langchain-ai/langchain/pull/35161,2026-02-11,14,13,"integration, infra, dependencies, qdrant, python:uv"
chore(deps): bump langsmith from 0.4.38 to 0.6.3 in /libs/model-profiles,https://github.com/langchain-ai/langchain/pull/35160,2026-02-11,11,10,"infra, dependencies, model-profiles, python:uv, external"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/xai,https://github.com/langchain-ai/langchain/pull/35159,2026-02-11,16,15,"integration, infra, dependencies, xai, python:uv, external"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/exa,https://github.com/langchain-ai/langchain/pull/35158,2026-02-11,14,13,"integration, infra, dependencies, exa, python:uv, external"
chore(deps): bump langsmith from 0.4.56 to 0.6.3 in /libs/standard-tests,https://github.com/langchain-ai/langchain/pull/35157,2026-02-11,4,4,"standard-tests, infra, dependencies, python:uv, external"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/deepseek,https://github.com/langchain-ai/langchain/pull/35156,2026-02-11,16,15,"integration, infra, dependencies, deepseek, python:uv, external"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/groq,https://github.com/langchain-ai/langchain/pull/35155,2026-02-11,15,14,"integration, infra, dependencies, groq, python:uv, external"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/perplexity,https://github.com/langchain-ai/langchain/pull/35154,2026-02-11,14,13,"integration, infra, dependencies, perplexity, python:uv, external"
chore(deps): bump langsmith from 0.4.31 to 0.6.3 in /libs/partners/nomic,https://github.com/langchain-ai/langchain/pull/35153,2026-02-11,14,13,"integration, dependencies, nomic, python:uv, external"
chore(deps): bump langsmith from 0.4.32rc0 to 0.6.3 in /libs/partners/huggingface,https://github.com/langchain-ai/langchain/pull/35152,2026-02-11,30,24,"integration, infra, dependencies, huggingface, python:uv, external"
chore(deps): bump langsmith from 0.4.37 to 0.6.3 in /libs/partners/openai,https://github.com/langchain-ai/langchain/pull/35151,2026-02-11,5,4,"integration, infra, dependencies, openai, python:uv, external"
chore(deps): bump langsmith from 0.4.43 to 0.6.3 in /libs/partners/anthropic,https://github.com/langchain-ai/langchain/pull/35150,2026-02-11,5,4,"integration, dependencies, anthropic, python:uv"
chore(deps): bump langsmith from 0.4.42 to 0.6.3 in /libs/langchain_v1,https://github.com/langchain-ai/langchain/pull/35149,2026-02-11,4,3,"langchain, infra, dependencies, python:uv, external"
chore(deps): bump cryptography from 46.0.3 to 46.0.5 in /libs/langchain_v1,https://github.com/langchain-ai/langchain/pull/35148,2026-02-11,56,61,"langchain, infra, dependencies, python:uv, external"
chore(deps): bump cryptography from 46.0.1 to 46.0.5 in /libs/langchain,https://github.com/langchain-ai/langchain/pull/35147,2026-02-11,54,59,"infra, dependencies, langchain-classic, python:uv, external"
release(anthropic): 1.3.3,https://github.com/langchain-ai/langchain/pull/35146,2026-02-10,23,23,"integration, release, dependencies, anthropic, internal"
release(openai): 1.1.9,https://github.com/langchain-ai/langchain/pull/35145,2026-02-10,25,25,"integration, release, dependencies, openai, internal"
release(core): 1.2.11,https://github.com/langchain-ai/langchain/pull/35144,2026-02-10,4,4,"core, release, dependencies"
fix(openai): sanitize urls when counting tokens in images,https://github.com/langchain-ai/langchain/pull/35143,2026-02-10,720,5,"integration, core, fix, openai, internal"
chore(docs): Update llms.txt redirect,https://github.com/langchain-ai/langchain/pull/35142,2026-02-10,5,436,"infra, internal"
"fix(anthropic): support effort=""max"" and remove beta headers",https://github.com/langchain-ai/langchain/pull/35141,2026-02-10,10,64,"integration, fix, anthropic, internal"
release(standard-tests): release 1.1.5,https://github.com/langchain-ai/langchain/pull/35139,2026-02-10,3,3,"standard-tests, release, dependencies"
fix(core): replace bare except with Exception in tracer,https://github.com/langchain-ai/langchain/pull/35138,2026-02-10,1,1,"core, fix, external"
release(langchain): 1.2.10,https://github.com/langchain-ai/langchain/pull/35137,2026-02-10,8,8,"langchain, dependencies"
release(core): 1.2.10,https://github.com/langchain-ai/langchain/pull/35136,2026-02-10,4,4,"core, release, dependencies, internal"
chore(deps): bump the langchain-deps group across 3 directories with 40 updates,https://github.com/langchain-ai/langchain/pull/35129,2026-02-10,1126,891,"core, langchain, dependencies, langchain-classic, python:uv, external"
chore(deps): bump the other-deps group across 3 directories with 12 updates,https://github.com/langchain-ai/langchain/pull/35127,2026-02-10,314,308,"standard-tests, infra, text-splitters, dependencies, model-profiles, python:uv, external"
chore: update dependabot.yml to comply with posture checks,https://github.com/langchain-ai/langchain/pull/35125,2026-02-10,4,2,"infra, internal"
chore: dependabot config,https://github.com/langchain-ai/langchain/pull/35124,2026-02-10,3,1,"core, langchain, infra, dependencies, langchain-classic"
chore(deps): bump the langchain-deps group across 3 directories with 11 updates,https://github.com/langchain-ai/langchain/pull/35121,2026-02-10,118,116,"core, langchain, infra, dependencies, langchain-classic, external, python"
chore(deps): bump the other-deps group across 3 directories with 8 updates,https://github.com/langchain-ai/langchain/pull/35120,2026-02-10,13,13,"standard-tests, text-splitters, dependencies, model-profiles, external, python"
feat(text-splitters): add model_kwargs to SentenceTransformersTokenTextSplitter,https://github.com/langchain-ai/langchain/pull/35113,2026-02-11,23,1,"text-splitters, feature, external"
chore(standard-tests): test suite for sandbox only,https://github.com/langchain-ai/langchain/pull/35111,2026-02-10,256,371,"standard-tests, infra, internal"
fix: separating groups of directories,https://github.com/langchain-ai/langchain/pull/35109,2026-02-10,22,4,"fix, internal"
fix(langchain): fix token counting on partial message sequences,https://github.com/langchain-ai/langchain/pull/35101,2026-02-09,32,2,"langchain, fix, internal"
refactor(langchain): rename `_SUPPORTED_PROVIDERS` -> `_BUILTIN_PROVIDERS`,https://github.com/langchain-ai/langchain/pull/35100,2026-02-09,55,31,"langchain, refactor, internal"
"feat(core): add ContextOverflowError, raise in anthropic and openai",https://github.com/langchain-ai/langchain/pull/35099,2026-02-09,445,137,"integration, core, feature, anthropic, openai, internal"
feat(core): count tokens from tool schemas in `count_tokens_approximately`,https://github.com/langchain-ai/langchain/pull/35098,2026-02-09,68,2,core
release(openai): 1.1.8,https://github.com/langchain-ai/langchain/pull/35097,2026-02-09,11,11,"integration, release, dependencies, openai, internal"
feat(anthropic): add ChatAnthropicBedrock wrapper,https://github.com/langchain-ai/langchain/pull/35091,2026-02-20,869,4,"integration, core, dependencies, feature, anthropic, external"
docs(core): add missing `name` docstring for `RunnableSerializable`,https://github.com/langchain-ai/langchain/pull/35088,2026-02-09,4,0,"documentation, core, internal"
feat(model-profiles): add `text_inputs` and `text_outputs`,https://github.com/langchain-ai/langchain/pull/35084,2026-02-09,616,52,"integration, core, feature, model-profiles, anthropic, deepseek, fireworks, groq, huggingface, mistralai"
fix(langchain-classic): validate ensemble retriever weights,https://github.com/langchain-ai/langchain/pull/35078,2026-02-11,17,1,"fix, langchain-classic, external"
fix(anthropic): strip trailing whitespace from final assistant message,https://github.com/langchain-ai/langchain/pull/35072,2026-02-08,31,0,"integration, fix, anthropic, external"
chore(core): clean up docstring mismatch and redundant logic in langchain-core,https://github.com/langchain-ai/langchain/pull/35064,2026-02-10,1,9,"core, infra"
chore(huggingface): version bump for huggingface-hub and transformers deps,https://github.com/langchain-ai/langchain/pull/35061,2026-02-11,7,7,"integration, infra, dependencies, huggingface"
fix(openai): detect codex models for responses api preference,https://github.com/langchain-ai/langchain/pull/35058,2026-02-08,6,1,"integration, fix, openai, external"
chore(deps): bump aws-actions/configure-aws-credentials from 5 to 6 in the github-actions group,https://github.com/langchain-ai/langchain/pull/35056,2026-02-06,1,1,"infra, dependencies, github_actions, external"
chore: deps,https://github.com/langchain-ai/langchain/pull/35055,2026-02-06,33,0,"infra, internal"
docs(langchain-classic): clarify MultiVectorRetriever usage,https://github.com/langchain-ai/langchain/pull/35053,2026-02-11,14,1,"documentation, langchain-classic, external"
docs(langchain-classic): warn about older `create_react_agent`,https://github.com/langchain-ai/langchain/pull/35052,2026-02-06,16,13,"documentation, langchain-classic"
docs(langchain-classic): add warning for `initialize_agent` function,https://github.com/langchain-ai/langchain/pull/35051,2026-02-06,12,1,"documentation, langchain-classic, internal"
release(standard-tests): release 1.1.4,https://github.com/langchain-ai/langchain/pull/35048,2026-02-06,2,2,"standard-tests, release, dependencies, internal"
chore(infra): delete prompty,https://github.com/langchain-ai/langchain/pull/35044,2026-02-06,1,3813,"integration, infra, dependencies, github_actions, prompty, internal"
style: bump ruff version to 0.15,https://github.com/langchain-ai/langchain/pull/35042,2026-02-13,72,58,"core, langchain, standard-tests, text-splitters, dependencies, langchain-classic, model-profiles, linting, external"
chore(standard-tests): bump down to 1.1.3,https://github.com/langchain-ai/langchain/pull/35040,2026-02-06,2,2,"standard-tests, infra, dependencies, internal"
chore(anthropic): update model profiles,https://github.com/langchain-ai/langchain/pull/35039,2026-02-06,37,21,"integration, infra, anthropic, internal"
chore(infra): inline code docs guidelines for `AGENTS.md`,https://github.com/langchain-ai/langchain/pull/35038,2026-02-05,2,0,"infra, internal"
fix(anthropic): support output_config,https://github.com/langchain-ai/langchain/pull/35036,2026-02-06,45,122,"integration, fix, anthropic, internal"
release(anthropic): 1.3.2,https://github.com/langchain-ai/langchain/pull/35035,2026-02-05,3,3,"integration, release, dependencies, anthropic, internal"
fix(anthropic): support automatic compaction (Opus 4.6),https://github.com/langchain-ai/langchain/pull/35034,2026-02-05,151,9,"integration, dependencies, fix, anthropic"
feat: support state updates from `wrap_model_call` with command(s),https://github.com/langchain-ai/langchain/pull/35033,2026-02-06,1264,182,"langchain, dependencies, feature, langchain-classic, internal"
release(standard-tests): 1.1.4,https://github.com/langchain-ai/langchain/pull/35032,2026-02-05,5,5,"standard-tests, release, dependencies, internal"
feat(groq): Strict Mode for Groq,https://github.com/langchain-ai/langchain/pull/35029,2026-03-05,79,6,"integration, feature, groq, external"
fix(langchain): bump min core version and improve approximate token counting,https://github.com/langchain-ai/langchain/pull/35026,2026-02-05,7,5,"langchain, dependencies, fix, internal"
release(core): 1.2.9,https://github.com/langchain-ai/langchain/pull/35025,2026-02-05,3,3,"core, release, dependencies, internal"
release: langchain 1.2.9,https://github.com/langchain-ai/langchain/pull/35023,2026-02-05,4,4,"langchain, release, dependencies, internal"
fix(langchain): normalize raw schemas in middleware response_format override,https://github.com/langchain-ai/langchain/pull/35019,2026-02-06,13,8,"langchain, fix, external"
feat(standard-tests): add standard tests for sandbox providers,https://github.com/langchain-ai/langchain/pull/35018,2026-02-05,599,57,"standard-tests, dependencies, feature"
fix(core): adjust cap when scaling approximate token counts,https://github.com/langchain-ai/langchain/pull/35017,2026-02-05,3,3,"core, fix"
revert: precompile hex color regex pattern at module level,https://github.com/langchain-ai/langchain/pull/35016,2026-02-04,4,4,"core, revert, internal"
chore: add `make type` target,https://github.com/langchain-ai/langchain/pull/35015,2026-02-04,105,21,"integration, core, langchain, standard-tests, infra, text-splitters, langchain-classic, model-profiles, anthropic, chroma"
"revert: ""chore: add typing target in `Makefile`""",https://github.com/langchain-ai/langchain/pull/35013,2026-02-04,42,105,"integration, core, langchain, standard-tests, text-splitters, revert, langchain-classic, model-profiles, anthropic, chroma"
chore: add typing target in `Makefile`,https://github.com/langchain-ai/langchain/pull/35012,2026-02-04,105,42,"integration, core, langchain, standard-tests, text-splitters, langchain-classic, model-profiles, anthropic, chroma, deepseek"
fix(core): apply cap when scaling approximate token counts,https://github.com/langchain-ai/langchain/pull/35005,2026-02-04,4,4,"core, fix, internal"
revert: use usage metadata scaling in SummarizationMiddleware default token counter,https://github.com/langchain-ai/langchain/pull/35002,2026-02-03,2,4,"langchain, revert, internal"
fix(langchain): use usage metadata scaling in SummarizationMiddleware default token counter,https://github.com/langchain-ai/langchain/pull/35001,2026-02-03,4,2,"langchain, fix, internal"
"chore: update PR template, `CODEOWNERS`",https://github.com/langchain-ai/langchain/pull/34999,2026-02-03,9,1,"infra, internal"
feat(core): add option to use usage_metadata to scale approximate token counts,https://github.com/langchain-ai/langchain/pull/34998,2026-02-03,110,14,"core, feature, internal"
fix(chroma): remove Python 3.14 classifier until Chroma supports it,https://github.com/langchain-ai/langchain/pull/34997,2026-02-03,0,1,"integration, dependencies, fix, chroma"
feat(core): allow scaling by reported usage when counting tokens approximately,https://github.com/langchain-ai/langchain/pull/34996,2026-02-03,137,1,"core, feature, internal"
fix(prompty): add thread-safety to InvokerFactory singleton,https://github.com/langchain-ai/langchain/pull/34983,2026-02-02,79,7,"integration, prompty, external"
test(core): increase `delta_time` for flaky test,https://github.com/langchain-ai/langchain/pull/34982,2026-02-02,6,9,"core, tests"
chore: enrich `pyproject.toml` files,https://github.com/langchain-ai/langchain/pull/34980,2026-02-02,320,62,"integration, core, langchain, standard-tests, infra, text-splitters, dependencies, langchain-classic, model-profiles, anthropic"
feat: threading context through `create_agent` flows + middleware,https://github.com/langchain-ai/langchain/pull/34978,2026-02-05,1167,167,"langchain, dependencies, feature, internal"
release(groq): 1.1.2,https://github.com/langchain-ai/langchain/pull/34977,2026-02-02,6,6,"integration, release, dependencies, groq, internal"
release(langchain): 1.2.8,https://github.com/langchain-ai/langchain/pull/34976,2026-02-02,12,7,"langchain, release, dependencies, internal"
release(core): 1.2.8,https://github.com/langchain-ai/langchain/pull/34975,2026-02-02,5,5,"core, release, dependencies"
"docs(core): add examples for `pretty_repr`, `pretty_print`",https://github.com/langchain-ai/langchain/pull/34968,2026-02-02,59,3,"documentation, core, internal"
docs(core): use proper admonition for `get_buffer_string`,https://github.com/langchain-ai/langchain/pull/34967,2026-02-02,4,1,"documentation, core, internal"
chore(core): fix docstring format,https://github.com/langchain-ai/langchain/pull/34966,2026-02-01,11,2,"core, internal"
chore(infra): synchronize `AGENTS.md` & `CLAUDE.md`,https://github.com/langchain-ai/langchain/pull/34965,2026-02-01,57,3,"infra, github_actions, internal"
chore(openai): update model profiles,https://github.com/langchain-ai/langchain/pull/34960,2026-02-01,21,1,"integration, infra, openai"
release(standard-tests): 1.1.3,https://github.com/langchain-ai/langchain/pull/34949,2026-01-31,4,4,"standard-tests, release, dependencies, internal"
docs(docs): add uv sync step to local setup instructions,https://github.com/langchain-ai/langchain/pull/34944,2026-01-31,8,0,"documentation, external"
fix(core): prevent crash in ParrotFakeChatModel when messages list is empty,https://github.com/langchain-ai/langchain/pull/34943,2026-01-31,3,0,"core, fix, external"
